,Amharic,English
1,እንደ,as
2,እኔ,I
3,የእሱ,his
4,የሚል ነው,that
5,እሱ,he
6,ነበር,was
7,ለ,for
8,ላይ,on
9,ናቸው,are
10,ጋር,with
11,እነሱ,they
12,ሁን,be
13,በ,at
14,አንድ,one
15,አላቸው,have
16,ይህ,this
17,ከ,from
18,በ,by
19,ሞቃት,hot
20,ቃል,word
21,ግን,but
22,ምንድን,what
23,አንዳንድ,some
24,ነው,is
25,እሱ,it
26,አንቺ,you
27,ወይም,or
28,ነበረው,had
29,የ,the
30,የ,of
31,ወደ,to
32,እና,and
33,ሀ,a
34,ውስጥ,in
35,እኛ,we
36,ይችላል,can
37,ውጭ,out
38,ሌላ,other
39,ነበሩ,were
40,የትኛው,which
41,መ ስ ራ ት,do
42,የእነሱ,their
43,ጊዜ,time
44,ከሆነ,if
45,ያደርጋል,will
46,እንዴት,how
47,አለ,said
48,አንድ,an
49,እያንዳንዳቸው,each
50,ንገረኝ,tell
51,ያደርጋል,does
52,አዘጋጅ,set
53,ሶስት,three
54,ይፈልጋሉ,want
55,አየር,air
56,ደህና,well
57,እንዲሁም,also
58,ጨዋታ,play
59,ትንሽ,small
60,መጨረሻ,end
61,አኑር,put
62,ቤት,home
63,አንብብ,read
64,እጅ,hand
65,ወደብ,port
66,ትልቅ,large
67,ፊደል,spell
68,ጨምር,add
69,እንኳን,even
70,መሬት,land
71,እዚህ,here
72,አለበት,must
73,ትልቅ,big
74,ከፍተኛ,high
75,እንደዚህ,such
76,ተከተል,follow
77,እርምጃ,act
78,ለምን,why
79,ብለህ ጠይቅ,ask
80,ወንዶች,men
81,ለውጥ,change
82,ሄደ,went
83,ብርሃን,light
84,ደግ,kind
85,ጠፍቷል,off
86,ፍላጎት,need
87,ቤት,house
88,ስዕል,picture
89,ሞክር,try
90,እኛ,us
91,እንደገና,again
92,እንስሳ,animal
93,ነጥብ,point
94,እናት,mother
95,ዓለም,world
96,ተጠጋ,near
97,መገንባት,build
98,ራስን,self
99,ምድር,earth
100,አባት,father
101,ማንኛውም,any
102,አዲስ,new
103,ሥራ,work
104,ክፍል,part
105,ውሰድ,take
106,አግኝ,get
107,ቦታ,place
108,የተሰራ,made
109,ቀጥታ,live
110,የት,where
111,በኋላ,after
112,ተመለስ,back
113,ትንሽ,little
114,ብቻ,only
115,ክብ,round
116,ሰው,man
117,አመት,year
118,መጣ,came
119,አሳይ,show
120,እያንዳንዱ,every
121,ጥሩ,good
122,እኔ,me
123,ስጥ,give
124,የእኛ,our
125,በታች,under
126,ስም,name
127,በጣም,very
128,በኩል,through
129,ብቻ,just
130,ቅጽ,form
131,ዓረፍተ-ነገር,sentence
132,በጣም ጥሩ,great
133,አስብ,think
134,በል,say
135,መርዳት,help
136,ዝቅተኛ,low
137,መስመር,line
138,ይለያል,differ
139,መታጠፍ,turn
140,መንስኤ,cause
141,ብዙ,much
142,ማለት,mean
143,ከዚህ በፊት,before
144,አንቀሳቅስ,move
145,ቀኝ,right
146,ወንድ ልጅ,boy
147,ያረጀ,old
148,እንዲሁ,too
149,ተመሳሳይ,same
150,እሷ,she
151,ሁሉም,all
152,እዚያ,there
153,መቼ,when
154,ወደ ላይ,up
155,አጠቃቀም,use
156,ያንተ,your
157,መንገድ,way
158,ስለ,about
159,ብዙዎች,many
160,ከዚያ,then
161,እነሱን,them
162,ፃፍ,write
163,ነበር,would
164,እንደ,like
165,ስለዚህ,so
166,እነዚህ,these
167,እሷ,her
168,ረዥም,long
169,ያድርጉ,make
170,ነገር,thing
171,ተመልከት,see
172,እሱ,him
173,ሁለት,two
174,አለው,has
175,ተመልከት,look
176,ተጨማሪ,more
177,ቀን,day
178,ይችላል,could
179,ሂድ,go
180,ና,come
181,አደረገ,did
182,ቁጥር,number
183,ድምጽ,sound
184,አይ,no
185,በጣም,most
186,ሰዎች,people
187,የእኔ,my
188,በላይ,over
189,ማወቅ,know
190,ውሃ,water
191,ይልቅ,than
192,ይደውሉ,call
193,አንደኛ,first
194,የአለም ጤና ድርጅት,who
195,ግንቦት,may
196,ታች,down
197,ጎን,side
198,ቆይቷል,been
199,አሁን,now
200,አግኝ,find
201,ጭንቅላት,head
202,ቆመ,stand
203,የራሱ,own
204,ገጽ,page
205,ይገባል,should
206,ሀገር,country
207,ተገኝቷል,found
208,መልስ,answer
209,ትምህርት ቤት,school
210,ማደግ,grow
211,ጥናት,study
212,አሁንም,still
213,ተማሩ,learn
214,ተክል,plant
215,ሽፋን,cover
216,ምግብ,food
217,ፀሐይ,sun
218,አራት,four
219,መካከል,between
220,ግዛት,state
221,ጠብቅ,keep
222,አይን,eye
223,በጭራሽ,never
224,የመጨረሻ,last
225,እንሂድ,let
226,አሰብኩ,thought
227,ከተማ,city
228,ዛፍ,tree
229,መስቀል,cross
230,እርሻ,farm
231,ከባድ,hard
232,ጀምር,start
233,ይችላል,might
234,ታሪክ,story
235,መጋዝ,saw
236,ሩቅ,far
237,ባሕር,sea
238,መሳል,draw
239,ግራ,left
240,ረፍዷል,late
241,አሂድ,run
242,አታድርግ,don’t
243,እያለ,while
244,ይጫኑ,press
245,ገጠመ,close
246,ለሊት,night
247,እውነተኛ,real
248,ሕይወት,life
249,ጥቂቶች,few
250,ሰሜን,north
251,መጽሐፍ,book
252,ተሸከም,carry
253,ወሰደ,took
254,ሳይንስ,science
255,ብላ,eat
256,ክፍል,room
257,ጓደኛ,friend
258,ተጀመረ,began
259,ሀሳብ,idea
260,ዓሳ,fish
261,ተራራ,mountain
262,ተወ,stop
263,አንድ ጊዜ,once
264,መሠረት,base
265,መስማት,hear
266,ፈረስ,horse
267,መቁረጥ,cut
268,እርግጠኛ,sure
269,ይመልከቱ,watch
270,ቀለም,color
271,ፊት,face
272,እንጨት,wood
273,ዋና,main
274,ክፈት,open
275,ይመስላል,seem
276,አንድ ላየ,together
277,ቀጥሎ,next
278,ነጭ,white
279,ልጆች,children
280,ጀምር,begin
281,አግኝቷል,got
282,መራመድ,walk
283,ለምሳሌ,example
284,ቀላልነት,ease
285,ወረቀት,paper
286,ቡድን,group
287,ሁል ጊዜ,always
288,ሙዚቃ,music
289,እነዚያ,those
290,ሁለቱም,both
291,ምልክት ያድርጉ,mark
292,ብዙውን ጊዜ,often
293,ደብዳቤ,letter
294,እስከ,until
295,ማይልስ,mile
296,ወንዝ,river
297,መኪና,car
298,እግሮች,feet
299,እንክብካቤ,care
300,ሁለተኛ,second
301,ይበቃል,enough
302,ሜዳ,plain
303,ሴት ልጅ,girl
304,የተለመደ,usual
305,ወጣት,young
306,ዝግጁ,ready
307,ከላይ,above
308,መቼም,ever
309,ቀይ,red
310,ዝርዝር,list
311,ቢሆንም,though
312,ስሜት,feel
313,ማውራት,talk
314,ወፍ,bird
315,በቅርቡ,soon
316,አካል,body
317,ውሻ,dog
318,ቤተሰብ,family
319,ቀጥተኛ,direct
320,አቀማመጥ,pose
321,ተወው,leave
322,ዘፈን,song
323,መለካት,measure
324,በር,door
325,ምርት,product
326,ጥቁር,black
327,አጭር,short
328,ቁጥር,numeral
329,ክፍል,class
330,ነፋስ,wind
331,ጥያቄ,question
332,ተከሰተ,happen
333,ተጠናቀቀ,complete
334,መርከብ,ship
335,አካባቢ,area
336,ግማሽ,half
337,ዐለት,rock
338,ትዕዛዝ,order
339,እሳት,fire
340,ደቡብ,south
341,ችግር,problem
342,ቁራጭ,piece
343,ተነግሯል,told
344,አውቅ ነበር,knew
345,ማለፍ,pass
346,ጀምሮ,since
347,ከላይ,top
348,ሙሉ,whole
349,ንጉስ,king
350,ጎዳና,street
351,ኢንች,inch
352,ማባዛት,multiply
353,መነም,nothing
354,ኮርስ,course
355,ቆይ,stay
356,ጎማ,wheel
357,ሙሉ,full
358,ኃይል,force
359,ሰማያዊ,blue
360,ነገር,object
361,መወሰን,decide
362,ገጽ,surface
363,ጥልቅ,deep
364,ጨረቃ,moon
365,ደሴት,island
366,እግር,foot
367,ስርዓት,system
368,ስራ የሚበዛበት,busy
369,ሙከራ,test
370,መዝገብ,record
371,ጀልባ,boat
372,የተለመደ,common
373,ወርቅ,gold
374,ይቻላል,possible
375,አውሮፕላን,plane
376,መቆሚያ,stead
377,ደረቅ,dry
378,ይገርማል,wonder
379,ሳቅ,laugh
380,ሺህ,thousand
381,በፊት,ago
382,ሮጠ,ran
383,ቼክ,check
384,ጨዋታ,game
385,ቅርፅ,shape
386,እኩልነት,equate
387,ሞቃት,hot
388,ናፍቆት,miss
389,አመጣ,brought
390,ሙቀት,heat
391,በረዶ,snow
392,ጎማ,tire
393,አምጣ,bring
394,አዎ,yes
395,ሩቅ,distant
396,ሙላ,fill
397,ምስራቅ,east
398,ቀለም,paint
399,ቋንቋ,language
400,መካከል,among
401,አሃድ,unit
402,ኃይል,power
403,ከተማ,town
404,ደህና,fine
405,በእርግጠኝነት,certain
406,ዝንብ,fly
407,መውደቅ,fall
408,መምራት,lead
409,አልቅስ,cry
410,ጨለማ,dark
411,ማሽን,machine
412,ማስታወሻ,note
413,ጠብቅ,wait
414,ዕቅድ,plan
415,ምስል,figure
416,ኮከብ,star
417,ሳጥን,box
418,ስም,noun
419,መስክ,field
420,ማረፍ,rest
421,ትክክል,correct
422,መቻል,able
423,ፓውንድ,pound
424,ተከናውኗል,done
425,ውበት,beauty
426,መንዳት,drive
427,ቆመ,stood
428,ይዘዋል,contain
429,ፊትለፊት,front
430,አስተምር,teach
431,ሳምንት,week
432,የመጨረሻ,final
433,ሰጥቷል,gave
434,አረንጓዴ,green
435,ወይ,oh
436,ፈጣን,quick
437,ማዳበር,develop
438,ውቅያኖስ,ocean
439,ሞቃት,warm
440,ፍርይ,free
441,ደቂቃ,minute
442,ጠንካራ,strong
443,ልዩ,special
444,አእምሮ,mind
445,በስተጀርባ,behind
446,ግልፅ,clear
447,ጅራት,tail
448,ምርት,produce
449,እውነታው,fact
450,ቦታ,space
451,ተሰማ,heard
452,ምርጥ,best
453,ሰአት,hour
454,የተሻለ,better
455,እውነት,TRUE
456,ወቅት,during
457,መቶ,hundred
458,አምስት,five
459,አስታውስ,remember
460,ደረጃ,step
461,ቀድሞ,early
462,ያዝ,hold
463,ምዕራብ,west
464,መሬት,ground
465,ፍላጎት,interest
466,መድረስ,reach
467,ፈጣን,fast
468,ግስ,verb
469,ዘፈን,sing
470,ስማ,listen
471,ስድስት,six
472,ጠረጴዛ,table
473,ጉዞ,travel
474,ያነሰ,less
475,ጠዋት,morning
476,አስር,ten
477,ቀላል,simple
478,በርካታ,several
479,አናባቢ,vowel
480,ወደ,toward
481,ጦርነት,war
482,ተኛ,lay
483,ላይ,against
484,ንድፍ,pattern
485,ቀርፋፋ,slow
486,መሃል,center
487,ፍቅር,love
488,ሰው,person
489,ገንዘብ,money
490,ማገልገል,serve
491,ብቅ,appear
492,መንገድ,road
493,ካርታ,map
494,ዝናብ,rain
495,ደንብ,rule
496,አስተዳድር,govern
497,ጎትት,pull
498,ቀዝቃዛ,cold
499,ማስታወቂያ,notice
500,ድምፅ,voice
501,ኃይል,energy
502,አደን,hunt
503,ሊሆን የሚችል,probable
504,አልጋ,bed
505,ወንድም,brother
506,እንቁላል,egg
507,ግልቢያ,ride
508,ሴል,cell
509,እመን,believe
510,ምናልባት,perhaps
511,ምረጥ,pick
512,ድንገት,sudden
513,ቆጠራ,count
514,ካሬ,square
515,ምክንያት,reason
516,ርዝመት,length
517,ውክልና,represent
518,ስነጥበብ,art
519,ርዕሰ ጉዳይ,subject
520,ክልል,region
521,መጠን,size
522,ይለያያል,vary
523,እልባት,settle
524,ተናገር,speak
525,ክብደት,weight
526,አጠቃላይ,general
527,በረዶ,ice
528,ጉዳይ,matter
529,ክበብ,circle
530,ጥንድ,pair
531,ያካትቱ,include
532,መከፋፈል,divide
533,ሲሊብል,syllable
534,ተሰማኝ,felt
535,ታላቅ,grand
536,ኳስ,ball
537,ገና,yet
538,ማዕበል,wave
539,ጣል ያድርጉ,drop
540,ልብ,heart
541,ነኝ,am
542,ማቅረብ,present
543,ከባድ,heavy
544,መደነስ,dance
545,ሞተር,engine
546,አቀማመጥ,position
547,ክንድ,arm
548,ሰፊ,wide
549,መርከብ,sail
550,ቁሳቁስ,material
551,ክፍልፋይ,fraction
552,ደን,forest
553,ተቀመጥ,sit
554,ዘር,race
555,መስኮት,window
556,መደብር,store
557,በጋ,summer
558,ባቡር,train
559,መተኛት,sleep
560,አረጋግጥ,prove
561,ብቸኛ,lone
562,እግር,leg
563,የአካል ብቃት እንቅስቃሴ,exercise
564,ግድግዳ,wall
565,ያዝ,catch
566,ተራራ,mount
567,ምኞት,wish
568,ሰማይ,sky
569,ሰሌዳ,board
570,ደስታ,joy
571,ክረምት,winter
572,ተቀምጧል,sat
573,ተፃፈ,written
574,የዱር,wild
575,መሣሪያ,instrument
576,ተጠብቆ ቆይቷል,kept
577,ብርጭቆ,glass
578,ሣር,grass
579,ላም,cow
580,ሥራ,job
581,ጠርዝ,edge
582,ምልክት,sign
583,ጉብኝት,visit
584,ያለፈው,past
585,ለስላሳ,soft
586,አዝናኝ,fun
587,ብሩህ,bright
588,ጋዝ,gas
589,የአየር ሁኔታ,weather
590,ወር,month
591,ሚሊዮን,million
592,ድብ,bear
593,ጨርስ,finish
594,ደስተኛ,happy
595,ተስፋ,hope
596,አበባ,flower
597,ልብስ መልበስ,clothe
598,እንግዳ ነገር,strange
599,ሄዷል,gone
600,ንግድ,trade
601,ዜማ,melody
602,ጉዞ,trip
603,ቢሮ,office
604,ተቀበል,receive
605,ረድፍ,row
606,አፍ,mouth
607,ትክክለኛ,exact
608,ምልክት,symbol
609,መሞት,die
610,ቢያንስ,least
611,ችግር,trouble
612,እልል በል,shout
613,በስተቀር,except
614,ሲል ጽ wroteል,wrote
615,ዘር,seed
616,ቃና,tone
617,ተቀላቀል,join
618,ይጠቁሙ,suggest
619,ንፁህ,clean
620,ሰበር,break
621,እመቤት,lady
622,ግቢ,yard
623,ተነስ,rise
624,መጥፎ,bad
625,ንፉ,blow
626,ዘይት,oil
627,ደም,blood
628,መንካት,touch
629,አድጓል,grew
630,መቶኛ,cent
631,ድብልቅ,mix
632,ቡድን,team
633,ሽቦ,wire
634,ዋጋ,cost
635,ጠፋ,lost
636,ብናማ,brown
637,መልበስ,wear
638,የአትክልት ስፍራ,garden
639,እኩል,equal
640,ተልኳል,sent
641,ይምረጡ,choose
642,ወደቀ,fell
643,ተስማሚ,fit
644,ፍሰት,flow
645,ፍትሃዊ,fair
646,ባንክ,bank
647,መሰብሰብ,collect
648,አስቀምጥ,save
649,ቁጥጥር,control
650,አስርዮሽ,decimal
651,ጆሮ,ear
652,ሌላ,else
653,በጣም,quite
654,ተሰብሯል,broke
655,ጉዳይ,case
656,መካከለኛ,middle
657,መግደል,kill
658,ወንድ ልጅ,son
659,ሐይቅ,lake
660,አፍታ,moment
661,ልኬት,scale
662,ጮክ ብሎ,loud
663,ፀደይ,spring
664,ልብ በል,observe
665,ልጅ,child
666,ቀጥ ያለ,straight
667,ተነባቢ,consonant
668,ሀገር,nation
669,መዝገበ-ቃላት,dictionary
670,ወተት,milk
671,ፍጥነት,speed
672,ዘዴ,method
673,አካል,organ
674,ይክፈሉ,pay
675,ዕድሜ,age
676,ክፍል,section
677,አለባበስ,dress
678,ደመና,cloud
679,መደነቅ,surprise
680,ጸጥ ያለ,quiet
681,ድንጋይ,stone
682,ጥቃቅን,tiny
683,መውጣት,climb
684,ጥሩ,cool
685,ዲዛይን,design
686,ድሆች,poor
687,ብዙ,lot
688,ሙከራ,experiment
689,ታች,bottom
690,ቁልፍ,key
691,ብረት,iron
692,ነጠላ,single
693,ዱላ,stick
694,ጠፍጣፋ,flat
695,ሃያ,twenty
696,ቆዳ,skin
697,ፈገግ በል,smile
698,ክራንች,crease
699,ቀዳዳ,hole
700,ዝለል,jump
701,ሕፃን,baby
702,ስምት,eight
703,መንደር,village
704,መገናኘት,meet
705,ሥር,root
706,ይግዙ,buy
707,አሳድግ,raise
708,መፍታት,solve
709,ብረት,metal
710,እንደሆነ,whether
711,ግፋ,push
712,ሰባት,seven
713,አንቀጽ,paragraph
714,ሶስተኛ,third
715,ይሆናል,shall
716,ተይ .ል,held
717,ፀጉር,hair
718,ይግለጹ,describe
719,ምግብ ማብሰል,cook
720,ወለል,floor
721,ወይ,either
722,ውጤት,result
723,ማቃጠል,burn
724,ኮረብታ,hill
725,ደህና,safe
726,ድመት,cat
727,ክፍለ ዘመን,century
728,የሚለውን ከግምት ያስገቡ,consider
729,ዓይነት,type
730,ሕግ,law
731,ቢት,bit
732,ዳርቻ,coast
733,ቅጅ,copy
734,ሐረግ,phrase
735,ዝም,silent
736,ረዥም,tall
737,አሸዋ,sand
738,አፈር,soil
739,ጥቅል,roll
740,የሙቀት መጠን,temperature
741,ጣት,finger
742,ኢንዱስትሪ,industry
743,እሴት,value
744,ተጋደል,fight
745,ውሸት,lie
746,ድብደባ,beat
747,ቀስቃሽ,excite
748,ተፈጥሯዊ,natural
749,እይታ,view
750,ስሜት,sense
751,ካፒታል,capital
752,አይሆንም,won’t
753,ወንበር,chair
754,አደጋ,danger
755,ፍራፍሬ,fruit
756,ሀብታም,rich
757,ወፍራም,thick
758,ወታደር,soldier
759,ሂደት,process
760,መሥራት,operate
761,ልምምድ,practice
762,መለየት,separate
763,አስቸጋሪ,difficult
764,ዶክተር,doctor
765,አባክሽን,please
766,ይጠብቁ,protect
767,እኩለ ቀን,noon
768,ሰብል,crop
769,ዘመናዊ,modern
770,ንጥረ ነገር,element
771,ይምቱ,hit
772,ተማሪ,student
773,ጥግ,corner
774,ድግስ,party
775,አቅርቦት,supply
776,የማን,whose
777,አግኝ,locate
778,ቀለበት,ring
779,ባህሪ,character
780,ነፍሳት,insect
781,ተይ .ል,caught
782,ወቅት,period
783,አመልክት,indicate
784,ሬዲዮ,radio
785,ተናገረ,spoke
786,አቶም,atom
787,ሰው,human
788,ታሪክ,history
789,ውጤት,effect
790,ኤሌክትሪክ,electric
791,ይጠብቁ,expect
792,አጥንት,bone
793,ባቡር,rail
794,አስቡት,imagine
795,ያቅርቡ,provide
796,እስማማለሁ,agree
797,ስለሆነም,thus
798,ገራገር,gentle
799,ሴት,woman
800,ካፒቴን,captain
801,መገመት,guess
802,አስፈላጊ,necessary
803,ሹል,sharp
804,ክንፍ,wing
805,ፍጠር,create
806,ጎረቤት,neighbor
807,ታጠብ,wash
808,የሌሊት ወፍ,bat
809,ይልቅስ,rather
810,ህዝብ,crowd
811,በቆሎ,corn
812,አወዳድር,compare
813,ግጥም,poem
814,ገመድ,string
815,ደወል,bell
816,ጥገኛ,depend
817,ስጋ,meat
818,ማሻሸት,rub
819,ቧንቧ,tube
820,ዝነኛ,famous
921,ዶላር,dollar
822,ጅረት,stream
823,ፍርሃት,fear
284,እይታ,sight
825,ቀጭን,thin
826,ሦስት ማዕዘን,triangle
827,ፕላኔት,planet
828,ፍጠን,hurry
829,አለቃ,chief
830,ቅኝ ግዛት,colony
831,ሰዓት,clock
832,የእኔ,mine
833,ማሰሪያ,tie
834,አስገባ,enter
835,ዋና,major
836,ትኩስ,fresh
837,ፍለጋ,search
838,ላክ,send
839,ቢጫ,yellow
840,ሽጉጥ,gun
841,ፍቀድ,allow
842,አትም,print
843,የሞተ,dead
844,ቦታ,spot
845,ምድረ በዳ,desert
846,ልብስ,suit
847,የአሁኑ,current
848,ማንሳት,lift
840,ተነሳ,rose
850,መድረስ,arrive
851,ጌታ,master
852,ትራክ,track
853,ወላጅ,parent
854,ዳርቻ,shore
855,መከፋፈል,division
856,ሉህ,sheet
857,ንጥረ ነገር,substance
858,ሞገስ,favor
859,ማገናኘት,connect
860,ልጥፍ,post
861,ማውጣት,spend
862,ኮርድ,chord
863,ስብ,fat
864,ደስ ብሎኛል,glad
865,ኦሪጅናል,original
866,.ር ያድርጉ,share
867,መሣፈሪያ,station
868,አባት,dad
869,ዳቦ,bread
870,ክፍያ,charge
871,ትክክለኛ,proper
872,ባር,bar
873,አቅርብ,offer
874,ክፍል,segment
875,ባሪያ,slave
876,ዳክዬ,duck
877,ቅጽበታዊ,instant
878,ገበያ,market
879,ዲግሪ,degree
880,የህዝብ ብዛት,populate
881,ጫጩት,chick
882,ውድ,dear
883,ጠላት,enemy
884,መልስ,reply
885,መጠጥ,drink
886,ይከሰታል,occur
887,ድጋፍ,support
888,ንግግር,speech
889,ተፈጥሮ,nature
890,ክልል,range
891,የእንፋሎት,steam
892,እንቅስቃሴ,motion
893,መንገድ,path
894,ፈሳሽ,liquid
895,መዝገብ,log
896,ማለት ነበር,meant
897,ድርድር,quotient
898,ጥርስ,teeth
899,shellል,shell
900,አንገት,neck
901,ኦክስጅን,oxygen
902,ስኳር,sugar
903,ሞት,death
904,ቆንጆ,pretty
905,ችሎታ,skill
906,ሴቶች,women
907,ወቅት,season
908,መፍትሄ,solution
909,ማግኔት,magnet
910,ብር,silver
911,አመሰግናለሁ,thank
912,ቅርንጫፍ,branch
913,ግጥሚያ,match
914,ቅጥያ,suffix
915,በተለይ,especially
916,በለስ,fig
917,ፈራ,afraid
918,ግዙፍ,huge
919,እህት,sister
920,ብረት,steel
921,መወያየት,discuss
922,ወደፊት,forward
923,ተመሳሳይ,similar
924,መመሪያ,guide
925,ተሞክሮ,experience
926,ውጤት,score
927,ፖም,apple
928,ገዝቷል,bought
929,መርቷል,led
930,ቅጥነት,pitch
931,ካፖርት,coat
932,ብዛት,mass
933,ካርድ,card
934,ባንድ,band
935,ገመድ,rope
936,ተንሸራታች,slip
937,ማሸነፍ,win
938,ህልም,dream
939,ምሽት,evening
940,ሁኔታ,condition
941,ምግብ,feed
942,መሣሪያ,tool
943,ጠቅላላ,total
944,መሰረታዊ,basic
945,ማሽተት,smell
946,ሸለቆ,valley
947,ወይም አይደለም,nor
948,ድርብ,double
949,መቀመጫ,seat
950,ቀጥል,continue
951,ብሎክ,block
952,ገበታ,chart
953,ባርኔጣ,hat
954,መሸጥ,sell
955,ስኬት,success
956,ኩባንያ,company
957,መቀነስ,subtract
958,ክስተት,event
959,በተለይ,particular
960,ስምምነት,deal
961,መዋኘት,swim
962,ቃል,term
963,ተቃራኒ,opposite
964,ሚስት,wife
965,ጫማ,shoe
966,ትከሻ,shoulder
967,ስርጭት,spread
968,አደራጅ,arrange
969,ካምፕ,camp
970,ፈጠራ,invent
971,ጥጥ,cotton
972,ተወለደ,born
973,መወሰን,determine
974,ሩብ,quart
975,ዘጠኝ,nine
976,የጭነት መኪና,truck
977,ጫጫታ,noise
978,ደረጃ,level
979,ዕድል,chance
980,ተሰብሰቡ,gather
981,ሱቅ,shop
982,ዘርጋ,stretch
983,መወርወር,throw
984,አብራ,shine
985,ንብረት,property
986,አምድ,column
987,ሞለኪውል,molecule
988,ምረጥ,select
989,ስህተት,wrong
990,ግራጫ,gray
991,መድገም,repeat
992,ይጠይቁ,require
993,ሰፊ,broad
994,አዘጋጁ,prepare
995,ጨው,salt
996,አፍንጫ,nose
997,ብዙ ቁጥር,plural
998,ቁጣ,anger
999,ይገባኛል ጥያቄ,claim